index,title,original_language,release_date,popularity,vote_average,vote_count,overview,
113,Top Gun: Maverick,en,24/05/2022,183.306,8.3,7321,"After more than thirty years of service as one of the Navyâ€™s top aviators, and dodging the advancement in rank that would ground him, Pete â€œMaverickâ€ù Mitchell finds himself training a detachment of TOP GUN graduates for a specialized mission the likes of which no living pilot has ever seen.",
114,Plane,en,12/01/2023,183.077,7,1617,"After a heroic job of successfully landing his storm-damaged aircraft in a war zone, a fearless pilot finds himself between the agendas of multiple militias planning to take the plane and its passengers hostage.",
115,Insta Gay,en,28/05/2023,182.353,0,0,A millennial reels after breaking-up with a popular gay influencer. Insta Gay is a drama-comedy that explores the real world impact that vapid gay social media has on the queer community.,
116,The First Slam Dunk,ja,03/12/2022,176.172,7.8,167,"Shohoku's â€œspeedsterâ€ù and point guard, Ryota Miyagi, always plays with brains and lightning speed, running circles around his opponents while feigning composure. In his second year of high school, Ryota plays with the Shohoku High School basketball team along with Sakuragi, Rukawa, Akagi, and Mitsui as they take the stage at the Inter-High School National Championship. And now, they are on the brink of challenging the reigning champions, Sannoh Kogyo High School.",
117,Little Nicholas: Happy As Can Be,fr,12/10/2022,181.149,6.5,59,"Somewhere between Montmartre and Saint-Germain-des-PrÃ©s, Jean-Jacques SempÃ© and RenÃ© Goscinny lean over a large white sheet of paper and bring to life a mischievous and endearing boy, Little Nicolas. From schoolyard games and fights to summer camp pranks and camaraderie, Nicolas lives a merry and enriching childhood â€“ and brings friendship and newfound life to his creators, too.",
118,Garfield,en,10/06/2004,180.269,5.7,3578,"Garfield, the fat, lazy, lasagna lover, has everything a cat could want. But when Jon, in an effort to impress the Liz - the vet and an old high-school crush - adopts a dog named Odie and brings him home, Garfield gets the one thing he doesn't want. Competition.",
119,Sex and Zen II,cn,09/05/1996,178.809,5.9,25,"Sai Moon-Kin is a rich man who idolizes Lawrence Ng's character in the original Sex and Zen, and works hard to please as many women as he possibly can. When marrying off his retarded son, he finds his son's new wife pretty hot, so he takes her for his own, not knowing that she is the evil Mirage Woman, who knows ""sucking"" magic that's pretty nasty. Tsui's daughter, who dresses like a man and wears chastity belt for the main part of the film, and the righteous Iron Man try to stop Mirage Woman before it's too late, which means that she'll have free rein to ""suck"" anyone she wishes.",
120,The First Slam Dunk,ja,03/12/2022,176.172,7.8,167,"Shohoku's â€œspeedsterâ€ù and point guard, Ryota Miyagi, always plays with brains and lightning speed, running circles around his opponents while feigning composure. In his second year of high school, Ryota plays with the Shohoku High School basketball team along with Sakuragi, Rukawa, Akagi, and Mitsui as they take the stage at the Inter-High School National Championship. And now, they are on the brink of challenging the reigning champions, Sannoh Kogyo High School.",
121,Cobweb,en,19/07/2023,175.948,6.8,120,"Eight year old Peter is plagued by a mysterious, constant tapping from inside his bedroom wallâ€”one that his parents insist is all in his imagination. As Peter's fear intensifies, he believes that his parents could be hiding a terrible, dangerous secret and questions their trust.",
122,Kandahar,en,25/05/2023,174.677,6.6,333,"After his mission is exposed, an undercover CIA operative stuck deep in hostile territory in Afghanistan must fight his way out, alongside his Afghan translator, to an extraction point in Kandahar, all whilst avoiding elite enemy forces and foreign spies tasked with hunting them down.",
123,Coco,en,27/10/2017,167.981,8.2,17509,"Despite his familyâ€™s baffling generations-old ban on music, Miguel dreams of becoming an accomplished musician like his idol, Ernesto de la Cruz. Desperate to prove his talent, Miguel finds himself in the stunning and colorful Land of the Dead following a mysterious chain of events. Along the way, he meets charming trickster Hector, and together, they set off on an extraordinary journey to unlock the real story behind Miguel's family history.",
124,Titanic,en,18/11/1997,167.544,7.9,23421,"101-year-old Rose DeWitt Bukater tells the story of her life aboard the Titanic, 84 years later. A young Rose boards the ship with her mother and fiancÃ©. Meanwhile, Jack Dawson and Fabrizio De Rossi win third-class tickets aboard the ship. Rose tells the whole story from Titanic's departure through to its deathâ€”on its first and last voyageâ€”on April 15, 1912.",
125,Bed Rest,en,08/12/2022,166.956,6.6,125,A pregnant woman on bed rest begins to wonder if her house is haunted or if it's all in her head.,
126,Detective vs. Sleuths,cn,08/07/2022,166.923,6.7,49,"When Hong Kong is rocked by multiple gruesome murders, the police forms a task force to investigate. Jun, once a brilliant detective who suffered a mental breakdown, begins his own investigation. Eventually, the police learn that the murder victims are all suspects of cold cases being rubbed out by a figure known as ""The Sleuth"". Now, Jun and a detective from the task force are on a race against time to beat the brutal killer at its own game.",
127,Detective Conan: Black Iron Submarine,ja,14/04/2023,165.415,6.4,26,The 26th movie entry in the â€œDetective Conanâ€ù franchise.,
128,Scooby-Doo! The Mystery Begins,en,12/09/2009,164.627,6.4,633,"Unjustly accused of staging a spooky practical joke complete with ghosts, Daphne, Velma, Fred and Shaggy are suspended from Coolsville High. To clear their names, they team up to solve the supernatural mysteryâ€?and head straight into nonstop laughs and adventure.",
129,Sword Art Online the Movie -Progressive- Scherzo of Deep Night,ja,22/10/2022,164.557,7.6,119,"Over a month has passed since 10,000 users were trapped inside the ""Sword Art Online"" world. Asuna, who cleared the first floor of the floating iron castle of Aincrad, joined up with Kirito and continued her journey to reach the top floor. With the support of female Information Broker Argo, clearing the floors seemed to be progressing smoothly, but conflict erupts between two major guilds who should be working together â€“ the top player groups ALS (the Aincrad Liberation Squad) and DKB (the Dragon Knights Brigade). And meanwhile, behind the scenes exists a mysterious figure pulling the stringsâ€?",
130,Jurassic World Dominion,en,01/06/2022,163.726,6.8,5083,"Four years after Isla Nublar was destroyed, dinosaurs now liveâ€”and huntâ€”alongside humans all over the world. This fragile balance will reshape the future and determine, once and for all, whether human beings are to remain the apex predators ona planet they now share with history's most fearsome creatures.",
131,PAW Patrol: The Movie,en,09/08/2021,163.12,7.4,1134,Ryder and the pups are called to Adventure City to stop Mayor Humdinger from turning the bustling metropolis into a state of chaos.,
132,Run Rabbit Run,en,19/01/2023,162.082,5.4,146,"Sarah is a fertility doctor with a firm understanding of the cycle of life. When she is forced to make sense of the increasingly strange behavior of her young daughter Mia, she must challenge her own beliefs and confront a ghost from her past.",
133,Cocaine Bear,en,22/02/2023,158.422,6.2,1331,"Inspired by a true story, an oddball group of cops, criminals, tourists and teens converge in a Georgia forest where a 500-pound black bear goes on a murderous rampage after unintentionally ingesting cocaine.",
134,It,en,06/09/2017,155.33,7.2,17896,"In a small town in Maine, seven children known as The Losers Club come face to face with life problems, bullies and a monster that takes the shape of a clown called Pennywise.",
135,Harry Potter and the Philosopher's Stone,en,16/11/2001,154.156,7.9,25172,"Harry Potter has lived under the stairs at his aunt and uncle's house his whole life. But on his 11th birthday, he learns he's a powerful wizardâ€”with a place waiting for him at the Hogwarts School of Witchcraft and Wizardry. As he learns to harness his newfound powers with the help of the school's kindly headmaster, Harry uncovers the truth about his parents' deathsâ€”and about the villain who's to blame.",
136,Prey,en,02/08/2022,152.726,7.8,5712,"When danger threatens her camp, the fierce and highly skilled Comanche warrior Naru sets out to protect her people. But the prey she stalks turns out to be a highly evolved alien predator with a technically advanced arsenal.",
137,Sonic the Hedgehog 2,en,08/04/2022,152.677,7.6,4126,"After settling in Green Hills, Sonic is eager to prove he has what it takes to be a true hero. His test comes when Dr. Robotnik returns, this time with a new partner, Knuckles, in search for an emerald that has the power to destroy civilizations. Sonic teams up with his own sidekick, Tails, and together they embark on a globe-trotting journey to find the emerald before it falls into the wrong hands.",
